estacion,mes,ndvi_mediana,imagenes_utilizadas,pixeles_validos
NE2,2020-01-01,0.0801878422498703,2,15684
NE2,2020-02-01,0.06415094435214996,5,39210
NE2,2020-03-01,0.021691232919692993,4,31368
NE2,2020-04-01,0.04332073300611228,4,31368
NE2,2020-05-01,0.041306323604658246,6,47052
NE2,2020-06-01,0.07911763340234756,6,47052
NE2,2020-07-01,0.09130488336086273,5,39210
NE2,2020-08-01,0.08904650062322617,6,47052
NE2,2020-09-01,0.10229922086000443,4,31368
NE2,2020-10-01,0.1085432916879654,7,54894
NE2,2020-11-01,0.09826739132404327,5,39210
NE2,2020-12-01,0.0991659089922905,6,47052
NE2,2021-01-01,0.03576482832431793,5,39210
NE2,2021-02-01,0.016555423848330975,6,47052
NE2,2021-03-01,0.06238837540149689,6,47052
NE2,2021-04-01,0.06329113990068436,5,39210
NE2,2021-05-01,0.04352026339620352,6,47052
NE2,2021-06-01,0.06767136603593826,4,31368
NE2,2021-07-01,0.06944388896226883,6,47052
NE2,2021-08-01,0.07180385291576385,5,39210
NE2,2021-09-01,0.05758203566074371,6,47052
NE2,2021-10-01,0.052331702783703804,2,15684
NE2,2021-11-01,0.07996883988380432,5,39210
NE2,2021-12-01,0.05834291875362396,6,47052
NE2,2022-01-01,0.07043541967868805,5,39210
NE2,2022-02-01,0.041327252984046936,7,54894
NE2,2022-03-01,0.04568725451827049,9,70578
NE2,2022-04-01,0.03338572382926941,8,62736
NE2,2022-05-01,0.050878554582595825,9,70578
NE2,2022-06-01,0.034071508795022964,7,54894
NE2,2022-07-01,0.03245907463133335,8,62736
NE2,2022-08-01,0.026108086109161377,9,70578
NE2,2022-09-01,0.04308486729860306,8,62736
NE2,2022-10-01,0.05855005979537964,9,70578
NE2,2022-11-01,0.04730905219912529,5,39210
NE2,2022-12-01,0.05148920789361,6,47052
NE2,2023-01-01,0.04184401035308838,11,86262
NE2,2023-02-01,0.044430069625377655,8,62736
NE2,2023-03-01,0.03793354704976082,10,78420
NE2,2023-04-01,0.0025077471509575844,8,62736
NE2,2023-05-01,0.0433797612786293,5,39210
NE2,2023-06-01,0.053753284737467766,10,78420
NE2,2023-07-01,0.046402640640735626,9,70578
NE2,2023-08-01,0.03725729137659073,10,78420
NE2,2023-09-01,0.03838317282497883,12,94104
NE2,2023-10-01,0.03908791020512581,8,62736
NE2,2023-11-01,0.06163566932082176,10,78420
NE2,2023-12-01,0.06345084309577942,5,39210
NE2,2024-01-01,0.05503211170434952,5,39210
NE2,2024-02-01,0.055207543075084686,6,47052
NE2,2024-03-01,0.06402634084224701,3,23526
NE2,2024-04-01,0.04962260276079178,5,39210
NE2,2024-05-01,0.050238387659192085,6,47052
NE2,2024-06-01,0.0595589317381382,6,47052
NE2,2024-07-01,0.05769283510744572,4,31368
NE2,2024-08-01,0.03969565033912659,7,54894
NE2,2024-09-01,0.037058888003230095,4,31368
NE2,2024-10-01,0.07028882950544357,5,39210
NE2,2024-11-01,0.06503934413194656,4,31368
NE2,2024-12-01,0.052149444818496704,6,47052
NE2,2025-01-01,0.05272977240383625,4,31368
NE2,2025-02-01,0.04619552753865719,4,31368
NE2,2025-03-01,0.06145099923014641,7,54894
NE2,2025-04-01,0.05890567600727081,8,62736
NE2,2025-05-01,0.006884312257170677,6,47052
NE2,2025-06-01,0.034437716007232666,7,54894
NE2,2025-07-01,0.038246382027864456,6,47052
NE2,2025-08-01,0.04063094221055508,8,62736
NE2,2025-09-01,0.038102492690086365,5,39210
NE2,2025-10-01,0.04368365928530693,8,62736
NE2,2025-11-01,0.05108765512704849,7,54894
NE2,2025-12-01,0.041758183389902115,6,47052
NE3,2020-01-01,0.31925055384635925,2,15690
NE3,2020-02-01,0.2432643473148346,5,39225
NE3,2020-03-01,0.10713034844957292,4,31380
NE3,2020-04-01,0.09953940473496914,4,31380
NE3,2020-05-01,0.028916352428495884,6,47070
NE3,2020-06-01,0.272298663854599,6,47070
NE3,2020-07-01,0.2706827223300934,5,39225
NE3,2020-08-01,0.4669268727302551,6,47070
NE3,2020-09-01,0.5270175039768219,4,31380
NE3,2020-10-01,0.42331287264823914,7,54915
NE3,2020-11-01,0.36595040559768677,5,39225
NE3,2020-12-01,0.2990646958351135,6,47070
NE3,2021-01-01,0.02467685006558895,5,39225
NE3,2021-02-01,0.0448405472561717,6,47070
NE3,2021-03-01,0.19387157261371613,6,47070
NE3,2021-04-01,0.2021089643239975,5,39225
NE3,2021-05-01,0.10919111082330346,6,47070
NE3,2021-06-01,0.29015128314495087,4,31380
NE3,2021-07-01,0.3302494287490845,6,47070
NE3,2021-08-01,0.27906978130340576,5,39225
NE3,2021-09-01,0.27624113857746124,6,47070
NE3,2021-10-01,0.45322246849536896,2,15690
NE3,2021-11-01,0.49704840779304504,5,39225
NE3,2021-12-01,0.3194145932793617,6,47070
NE3,2022-01-01,0.3296296298503876,5,39225
NE3,2022-02-01,0.1571805477142334,7,54915
NE3,2022-03-01,0.13745173811912537,9,70605
NE3,2022-04-01,0.01020828541368246,8,62760
NE3,2022-05-01,0.16766981780529022,9,70605
NE3,2022-06-01,0.14498695731163025,7,54915
NE3,2022-07-01,0.1546262726187706,8,62760
NE3,2022-08-01,0.13877153396606445,9,70605
NE3,2022-09-01,0.28012973070144653,8,62760
NE3,2022-10-01,0.2890923023223877,9,70605
NE3,2022-11-01,0.17841079831123352,5,39225
NE3,2022-12-01,0.19456733018159866,6,47070
NE3,2023-01-01,0.16010625660419464,11,86295
NE3,2023-02-01,0.1313408687710762,8,62760
NE3,2023-03-01,0.125881128013134,10,78450
NE3,2023-04-01,0.06087246199604124,8,62760
NE3,2023-05-01,0.19224846363067627,5,39222
NE3,2023-06-01,0.2104376032948494,10,78450
NE3,2023-07-01,0.15288373827934265,9,70605
NE3,2023-08-01,0.18355239927768707,10,78450
NE3,2023-09-01,0.1922721415758133,12,94140
NE3,2023-10-01,0.06231081299483776,8,62760
NE3,2023-11-01,0.20630796998739243,10,78450
NE3,2023-12-01,0.32018861174583435,5,39225
NE3,2024-01-01,0.25295618176460266,5,39225
NE3,2024-02-01,0.18815137445926666,6,47070
NE3,2024-03-01,0.15214180946350098,3,23535
NE3,2024-04-01,0.17277882993221283,5,39225
NE3,2024-05-01,0.045043621212244034,6,47070
NE3,2024-06-01,0.19757704436779022,6,47070
NE3,2024-07-01,0.23664657026529312,4,31380
NE3,2024-08-01,0.2655150294303894,7,54915
NE3,2024-09-01,0.3255511522293091,4,31380
NE3,2024-10-01,0.36454713344573975,5,39225
NE3,2024-11-01,0.2925887405872345,4,31380
NE3,2024-12-01,0.25620273500680923,6,47070
NE3,2025-01-01,0.0740957036614418,4,31380
NE3,2025-02-01,0.15089938417077065,4,31380
NE3,2025-03-01,0.16380298137664795,7,54915
NE3,2025-04-01,0.14748577028512955,8,62760
NE3,2025-05-01,0.06261378666386008,6,47070
NE3,2025-06-01,0.19751064479351044,7,54915
NE3,2025-07-01,0.20500106364488602,6,47070
NE3,2025-08-01,0.20027079433202744,8,62760
NE3,2025-09-01,0.1758502572774887,5,39225
NE3,2025-10-01,0.37370729446411133,8,62760
NE3,2025-11-01,0.31482598185539246,7,54915
NE3,2025-12-01,0.23673653602600098,6,47070
