estacion,semana,ndvi_mediana,imagenes_utilizadas,pixeles_validos
NE2,2021-01-04,0.0435891579836607,2,15684
NE2,2021-01-11,0.11165434122085571,1,7842
NE2,2021-01-18,-0.005069125443696976,1,7842
NE2,2021-01-25,0.03576482832431793,1,7842
NE2,2021-02-01,0.08373573422431946,1,7842
NE2,2021-02-08,0.02924986369907856,2,15684
NE2,2021-02-15,-0.007668027654290199,1,7842
NE2,2021-02-22,0.011740799993276596,2,15684
NE2,2021-03-01,0.05401931703090668,1,7842
NE2,2021-03-08,0.04312906041741371,1,7842
NE2,2021-03-15,0.06238837540149689,2,15684
NE2,2021-03-22,0.08183372020721436,1,7842
NE2,2021-03-29,0.06979431211948395,1,7842
NE2,2021-04-05,0.07335467636585236,1,7842
NE2,2021-04-12,0.020195692777633667,1,7842
NE2,2021-04-19,0.074613768607378,2,15684
NE2,2021-04-26,0.06284014880657196,1,7842
NE2,2021-05-03,0.06741062924265862,2,15684
NE2,2021-05-10,-0.042181506752967834,1,7842
NE2,2021-05-17,0.06835879385471344,1,7842
NE2,2021-05-24,0.012926953728310764,2,15684
NE2,2021-05-31,,0,0
NE2,2021-06-07,0.07855457812547684,2,15684
NE2,2021-06-14,0.049713149666786194,1,7842
NE2,2021-06-21,,0,0
NE2,2021-06-28,0.05996893160045147,2,15684
NE2,2021-07-05,0.08602653443813324,1,7842
NE2,2021-07-12,0.05736002326011658,2,15684
NE2,2021-07-19,0.08558376133441925,1,7842
NE2,2021-07-26,0.05620233714580536,1,7842
NE2,2021-08-02,0.0741519033908844,2,15684
NE2,2021-08-09,0.07180385291576385,1,7842
NE2,2021-08-16,0.07609134912490845,1,7842
NE2,2021-08-23,0.05961747467517853,1,7842
NE2,2021-08-30,0.06344963610172272,1,7842
NE2,2021-09-06,0.026025699451565742,2,15684
NE2,2021-09-13,0.0699387788772583,1,7842
NE2,2021-09-20,0.01670265942811966,2,15684
NE2,2021-09-27,,0,0
NE2,2021-10-04,0.07799400389194489,1,7842
NE2,2021-10-11,0.026669401675462723,1,7842
NE2,2021-10-18,,0,0
NE2,2021-10-25,,0,0
NE2,2021-11-01,,0,0
NE2,2021-11-08,0.08528946340084076,1,7842
NE2,2021-11-15,0.08545537292957306,2,15684
NE2,2021-11-22,0.036189887672662735,1,7842
NE2,2021-11-29,0.0653335377573967,1,7842
NE2,2021-12-06,,0,0
NE2,2021-12-13,0.040811821818351746,2,15684
NE2,2021-12-20,0.07831072807312012,3,23526
NE2,2021-12-27,0.05972164124250412,1,7842
NE2,2022-01-03,0.06702111661434174,2,15684
NE2,2022-01-10,0.0750647783279419,1,7842
NE2,2022-01-17,0.07043541967868805,1,7842
NE2,2022-01-24,0.040136005729436874,1,7842
NE2,2022-01-31,,0,0
NE2,2022-02-07,0.049128733575344086,2,15684
NE2,2022-02-14,0.04121035896241665,2,15684
NE2,2022-02-21,-0.012686401139944792,2,15684
NE2,2022-02-28,0.03678125888109207,3,23526
NE2,2022-03-07,0.04566306434571743,2,15684
NE2,2022-03-14,0.04616111330688,2,15684
