estacion,fecha,EVI,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
NO3,2022-11-17,0.1169,1.1,15.9,23.8,48.3,8.0,63.0,,723.5,0.0,89.5,2.3,0.0,12.42,4.5,148.0
NO3,2022-12-03,0.2079,1.08,8.4,19.2,29.2,13.0,69.0,,719.9,0.0,78.0,2.7,0.0,18.88,5.9,126.0
NO3,2022-12-19,0.1139,0.8,8.350000000000001,20.55,31.45,16.0,70.0,,714.75,0.0,61.0,2.6,0.0,11.945,8.649999999999999,99.0
NO3,2023-01-01,0.1016,1.02,4.7,18.1,23.5,22.0,83.0,,710.7,0.0,62.0,2.4,0.0,19.43,20.05,341.0
NO3,2023-01-17,0.1124,1.3,3.7,13.2,16.6,22.0,70.5,,709.0,0.0,61.0,4.3,0.0,15.79,10.9,53.0
NO3,2023-02-02,0.0867,1.45,3.45,13.0,17.2,24.5,60.0,,711.0,0.0,62.0,4.5,0.0,15.879999999999999,22.4,41.0
NO3,2023-02-18,0.117,1.62,2.75,12.25,14.8,28.0,87.5,,705.7,0.0,63.0,4.3,0.0,24.134999999999998,18.15,60.0
NO3,2023-03-06,0.1165,1.53,2.5,9.149999999999999,11.95,24.0,58.0,,708.1,0.0,10.0,3.45,0.0,19.9,10.0,51.0
NO3,2023-03-22,0.0988,1.7,2.7,11.6,14.5,22.0,72.5,,706.0,0.0,,3.5,0.005,23.53,9.1,64.0
NO3,2023-04-07,0.1862,1.75,2.4,8.0,10.649999999999999,25.0,50.0,,706.8,0.0,,3.1,0.009,21.49,20.700000000000003,45.0
NO3,2023-04-23,0.066,0.61,3.0,9.0,11.7,27.0,72.0,,705.5,0.0,,3.4,0.026,24.625,,55.0
NO3,2023-05-09,0.1289,0.65,3.5,10.3,14.2,27.5,50.0,,707.4,0.0,,3.7,0.016,24.48,,109.0
NO3,2023-05-25,0.1997,0.61,3.5,7.8,11.4,27.0,42.0,,706.0,0.0,,3.7,0.0505,25.82,,229.5
NO3,2023-06-10,0.2209,0.62,3.5,11.0,15.0,30.0,66.0,,704.2,0.0,,3.7,0.056,32.28,11.2,47.0
