estacion,fecha,EVI,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
SO2,2021-01-01,0.1216,3.62,4.0,18.7,22.8,23.0,51.5,15.5,714.8,0.0,44.0,3.2,0.0,11.95,0.6,101.0
SO2,2021-01-17,0.1152,3.89,3.5,17.7,21.9,25.5,71.0,17.0,713.7,0.0,48.0,3.3,0.0,17.009999999999998,0.6,95.0
SO2,2021-02-02,0.116,3.82,6.4,20.5,29.85,17.0,62.0,18.5,712.7,0.0,56.0,3.3,0.0,15.51,0.7,89.0
SO2,2021-02-18,0.1148,,7.8,30.5,40.65,16.0,73.0,13.0,713.6,0.0,52.0,3.1,0.0,18.335,0.6,89.5
SO2,2021-03-06,0.1018,0.6,3.1,18.0,21.2,32.0,82.0,19.0,713.9,0.0,47.0,2.55,0.0,19.81,,79.0
SO2,2021-03-22,0.1127,0.87,2.8,20.15,24.1,31.0,67.0,17.0,712.5,0.0,48.0,2.7,0.009,19.94,11.7,79.0
SO2,2021-04-07,0.1639,0.74,3.5,13.4,16.7,31.0,75.0,22.0,712.5,0.0,58.0,3.3,0.012,23.509999999999998,12.8,78.0
SO2,2021-04-23,0.161,0.49,3.6,13.7,17.8,37.0,68.0,17.0,712.8,0.0,46.0,3.6,0.033,25.83,11.7,84.0
SO2,2021-05-09,0.1916,0.28,3.4,11.9,15.95,32.0,53.0,14.0,713.3,0.0,62.0,3.3,0.0305,24.689999999999998,13.2,76.0
SO2,2021-05-25,0.1789,0.18,3.5,13.1,17.3,27.0,59.0,18.0,713.5,0.0,62.0,3.6,0.032,26.005000000000003,12.2,72.0
SO2,2021-06-10,0.1739,0.54,3.5,12.7,16.6,30.0,47.0,13.0,713.6,0.0,53.0,3.55,0.02,28.08,14.2,76.5
SO2,2021-06-26,0.2069,0.64,3.9,11.05,15.4,21.0,44.5,12.0,713.6,0.0,67.0,3.2,0.04,25.35,35.4,80.0
SO2,2021-07-12,0.2202,0.69,3.6,12.0,15.8,21.0,68.0,19.0,714.5,0.0,57.0,3.7,0.034,26.89,23.1,78.0
SO2,2021-07-28,0.2065,0.81,3.8,13.6,17.7,23.0,59.0,18.0,714.4,0.0,60.0,3.8499999999999996,0.024,26.865000000000002,21.9,84.0
SO2,2021-08-13,0.1944,0.7,3.5,8.3,12.25,24.0,49.0,13.0,713.7,0.0,55.0,3.9,0.022,28.23,14.55,79.0
SO2,2021-08-29,0.177,0.81,3.4,10.3,14.0,28.0,57.0,17.0,713.6,0.0,49.0,4.2,0.006500000000000001,28.15,14.7,84.0
SO2,2021-09-14,0.1643,0.96,3.4,13.0,16.8,30.0,48.0,14.0,713.8,0.0,55.0,4.3,0.006,25.78,19.4,90.0
SO2,2021-09-30,0.1357,1.05,3.5,13.8,17.8,30.0,52.0,16.0,713.7,0.0,54.0,3.8,0.0,25.96,20.65,97.0
