estacion,n_obs,anio_inicio,anio_fin,n_anios,RH_mediana,pct_tiempo_sobre_umbral_RH,WSR_mediana,pct_tiempo_estancado,fraccion_gruesa_mediana,sector_dominante,indice_concentracion_direccional,NDVI_actual,EVI_actual,score_compuesto,prioridad
NO3,27044.0,2022.0,2025.0,4.0,59.0,20.8,9.6,0.8,0.839,SO,1.27,,,0.8407051282051282,alta
SO2,52592.0,2020.0,2025.0,6.0,55.0,16.7,9.5,9.0,0.7,O,1.11,,,0.7496482553904429,alta
NE2,52592.0,2020.0,2025.0,6.0,58.0,23.4,8.0,8.1,0.685,NO,1.06,,,0.6781175335081586,alta
BD_NTE,52594.0,2020.0,2025.0,6.0,50.0,15.2,7.0,8.8,0.699,NO,1.42,,,0.6405539772727272,media
NO2,52593.0,2020.0,2025.0,6.0,57.0,23.6,9.3,6.8,0.687,SO,1.19,,,0.6351580710955713,media
BD_CE,52604.0,2020.0,2025.0,6.0,56.0,19.6,6.9,8.6,0.621,O,1.2,,,0.6014566943473194,media
NTE2,52592.0,2020.0,2025.0,6.0,57.0,21.6,7.4,3.0,0.705,SO,1.46,,,0.6004226762820514,media
BD_SE,52598.0,2020.0,2025.0,6.0,62.0,29.4,9.5,2.0,0.636,NO,1.1,,,0.5921307728729605,media
BD_SUR,52591.0,2020.0,2025.0,6.0,59.0,23.7,5.5,17.0,0.674,N,1.23,,,0.5117867679195806,media
BD_NO,52596.0,2020.0,2025.0,6.0,56.0,22.5,7.2,9.8,0.611,NO,1.44,,,0.4436024912587413,media
SE3,52592.0,2020.0,2025.0,6.0,63.0,30.8,6.0,15.6,0.742,O,1.53,,,0.37489464962121216,media
BD_SO,52596.0,2020.0,2025.0,6.0,57.0,21.5,8.4,9.3,0.6,NO,1.65,,,0.3627262711247087,media
BD_NE,52594.0,2020.0,2025.0,6.0,65.0,34.7,8.2,5.5,0.635,O,1.66,,,0.25805397727272733,baja
NE3,43816.0,2021.0,2025.0,5.0,64.0,34.7,7.2,18.5,0.583,O,1.35,,,0.21825757575757573,baja
SE2,52594.0,2020.0,2025.0,6.0,63.0,30.1,4.9,28.3,0.592,O,1.49,,,0.13859675480769232,baja
