anio,date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2022,2022-12-01 01:00:00,0.55,2.8,5.8,8.7,29.0,36.0,,726.9,0.0,69.0,2.2,0.0,12.28,9.5,172.0
2022,2022-12-01 02:00:00,0.55,3.1,6.9,10.1,28.0,37.0,,726.5,0.0,78.0,2.1,0.0,10.95,8.0,190.0
2022,2022-12-01 03:00:00,0.56,2.7,6.6,9.5,28.0,35.0,,726.1,0.0,81.0,2.2,0.0,10.57,4.9,112.0
2022,2022-12-01 04:00:00,0.55,2.7,7.0,9.8,27.0,34.0,,725.8,0.0,80.0,2.1,0.0,10.77,4.0,79.0
2022,2022-12-01 05:00:00,0.55,2.6,5.8,8.6,27.0,40.0,,725.8,0.0,82.0,2.2,0.0,10.44,4.8,58.0
2022,2022-12-01 06:00:00,0.59,2.7,8.1,10.9,23.0,38.0,,725.9,0.0,84.0,2.3,0.0,10.14,2.2,307.0
2022,2022-12-01 07:00:00,0.73,5.1,11.6,16.7,19.0,39.0,,726.4,0.0,87.0,2.1,0.0,9.97,2.2,270.0
2022,2022-12-01 08:00:00,0.98,11.9,19.2,31.3,13.0,35.0,,726.7,0.0,89.0,2.1,0.0,10.21,1.9,173.0
2022,2022-12-01 09:00:00,1.1,17.0,23.8,41.0,9.0,35.0,,726.7,0.0,90.0,,0.016,10.74,4.1,74.0
2022,2022-12-01 10:00:00,1.07,24.5,25.5,50.2,8.0,47.0,,726.5,0.0,90.0,,0.055,11.11,4.8,56.0
2022,2022-12-01 11:00:00,1.03,19.9,26.8,47.0,9.0,66.0,,726.4,0.0,89.0,,0.069,11.79,4.6,48.0
2022,2022-12-01 12:00:00,1.08,21.6,29.3,51.2,9.0,67.0,,726.0,0.0,88.0,2.2,0.063,12.24,4.3,40.0
2022,2022-12-01 13:00:00,1.2,29.5,32.1,61.8,8.0,82.0,,725.3,0.0,85.0,2.4,0.062,12.64,4.9,26.0
2022,2022-12-01 14:00:00,1.21,33.8,31.2,65.2,8.0,99.0,,724.5,0.0,85.0,2.4,0.06,12.42,5.1,58.0
2022,2022-12-01 15:00:00,1.1,24.6,32.3,57.2,9.0,97.0,,724.0,0.0,88.0,2.2,0.062,12.31,3.1,58.0
2022,2022-12-01 16:00:00,1.56,47.1,38.2,85.5,7.0,80.0,,723.5,0.0,90.0,2.4,0.031,12.29,3.7,153.0
2022,2022-12-01 17:00:00,1.65,50.1,41.8,92.1,6.0,75.0,,723.3,0.0,92.0,2.4,0.013,12.44,4.4,147.0
2022,2022-12-01 18:00:00,1.66,50.6,40.4,91.3,5.0,80.0,,723.5,0.0,92.0,2.3,0.0,12.4,3.7,135.0
2022,2022-12-01 19:00:00,1.21,26.3,35.6,62.2,5.0,60.0,,723.6,0.0,93.0,2.2,0.0,12.44,4.8,132.0
2022,2022-12-01 20:00:00,1.35,26.4,29.2,55.7,5.0,41.0,,723.8,0.0,93.0,2.2,0.0,12.45,5.0,168.0
2022,2022-12-01 21:00:00,1.22,13.0,26.9,40.1,6.0,38.0,,724.0,0.0,94.0,2.0,0.0,12.49,5.2,155.0
