"estacion","fecha","EVI"
"NE2","2021-01-01",0.0638
"NE2","2021-01-17",0.084
"NE2","2021-02-02",0.0691
"NE2","2021-02-18",0.0556
"NE2","2021-03-06",0.0811
"NE2","2021-03-22",0.1123
"NE2","2021-04-07",0.0785
"NE2","2021-04-23",0.1086
"NE2","2021-05-09",0.0801
"NE2","2021-05-25",0.1458
"NE2","2021-06-10",0.0805
"NE2","2021-06-26",0.1553
"NE2","2021-07-12",0.0714
"NE2","2021-07-28",0.0876
"NE2","2021-08-13",0.1014
"NE2","2021-08-29",0.0997
"NE2","2021-09-14",0.0759
"NE2","2021-09-30",0.1145
"NE2","2021-10-16",0.1191
"NE2","2021-11-01",0.107
"NE2","2021-11-17",0.0773
"NE2","2021-12-03",0.0887
"NE2","2021-12-19",0.0847
"NE2","2022-01-01",0.0982
"NE2","2022-01-17",0.0704
"NE2","2022-02-02",0.0844
"NE2","2022-02-18",0.066
"NE2","2022-03-06",0.0627
"NE2","2022-03-22",0.0988
"NE2","2022-04-07",0.0534
"NE2","2022-04-23",0.0923
"NE2","2022-05-09",0.0841
"NE2","2022-05-25",0.0937
"NE2","2022-06-10",0.1053
"NE2","2022-06-26",0.0843
"NE2","2022-07-12",0.0752
"NE2","2022-07-28",0.0865
"NE2","2022-08-13",0.0927
"NE2","2022-08-29",0.1106
"NE2","2022-09-14",0.0856
"NE2","2022-09-30",0.0906
"NE2","2022-10-16",0.0857
"NE2","2022-11-01",0.067
"NE2","2022-11-17",0.0677
"NE2","2022-12-03",0.0712
"NE2","2022-12-19",0.0904
"NE2","2023-01-01",0.0888
"NE2","2023-01-17",0.0647
"NE2","2023-02-02",0.0486
"NE2","2023-02-18",0.0731
"NE2","2023-03-06",0.0763
"NE2","2023-03-22",0.0918
"NE2","2023-04-07",0.1217
"NE2","2023-04-23",0.1038
"NE2","2023-05-09",0.1135
"NE2","2023-05-25",0.1261
"NE2","2023-06-10",0.1393
"NE2","2023-06-26",0.1278
"NE2","2023-07-12",0.1012
"NE2","2023-07-28",0.0945
"NE2","2023-08-13",0.0974
"NE2","2023-08-29",0.0744
"NE2","2023-09-14",0.0773
"NE2","2023-09-30",0.0726
"NE2","2023-10-16",0.1074
"NE2","2023-11-01",0.0928
"NE2","2023-11-17",0.0894
"NE2","2023-12-03",0.1255
"NE2","2023-12-19",0.1092
"NE2","2024-01-01",0.0856
"NE2","2024-01-17",0.0996
"NE2","2024-02-02",0.1122
"NE2","2024-02-18",0.0966
"NE2","2024-03-05",0.1047
"NE2","2024-03-21",0.0763
"NE2","2024-04-06",0.1017
"NE2","2024-04-22",0.121
"NE2","2024-05-08",0.0896
"NE2","2024-05-24",0.1103
"NE2","2024-06-09",0.0823
"NE2","2024-06-25",0.0708
"NE2","2024-07-11",0.1344
"NE2","2024-07-27",0.1445
"NE2","2024-08-12",0.094
"NE2","2024-08-28",0.0854
"NE2","2024-09-13",0.1393
"NE2","2024-09-29",0.1231
"NE2","2024-10-15",0.1489
"NE2","2024-10-31",0.0842
"NE2","2024-11-16",0.058
"NE2","2024-12-02",0.0917
"NE2","2024-12-18",0.1077
"NE2","2025-01-01",0.1002
"NE2","2025-01-17",0.0821
"NE2","2025-02-02",0.06
"NE2","2025-02-18",0.0555
"NE2","2025-03-06",0.0663
"NE2","2025-03-22",0.069
"NE2","2025-04-07",0.0674
"NE2","2025-04-23",0.0966
"NE2","2025-05-09",0.0835
"NE2","2025-05-25",0.0803
"NE2","2025-06-10",0.0928
"NE2","2025-06-26",0.1106
"NE2","2025-07-12",0.0738
"NE2","2025-07-28",0.0774
"NE2","2025-08-13",0.1172
"NE2","2025-08-29",0.1089
"NE2","2025-09-14",0.1184
"NE2","2025-09-30",0.1041
"NE2","2025-10-16",0.1205
"NE2","2025-11-01",0.0759
"NE2","2025-11-17",0.0797
"NE2","2025-12-03",0.0894
"NE2","2025-12-19",0.0481
"NE3","2021-01-01",0.174
"NE3","2021-01-17",0.1401
"NE3","2021-02-02",0.1198
"NE3","2021-02-18",0.109
"NE3","2021-03-06",0.1162
"NE3","2021-03-22",0.1435
"NE3","2021-04-07",0.171
"NE3","2021-04-23",0.1682
"NE3","2021-05-09",0.1861
"NE3","2021-05-25",0.2311
"NE3","2021-06-10",0.2968
"NE3","2021-06-26",0.2568
"NE3","2021-07-12",0.2383
"NE3","2021-07-28",0.2454
"NE3","2021-08-13",0.2594
"NE3","2021-08-29",0.2189
"NE3","2021-09-14",0.2455
"NE3","2021-09-30",0.2679
"NE3","2021-10-16",0.389
"NE3","2021-11-01",0.4081
"NE3","2021-11-17",0.2775
"NE3","2021-12-03",0.268
"NE3","2021-12-19",0.2281
"NE3","2022-01-01",0.2326
"NE3","2022-01-17",0.1798
"NE3","2022-02-02",0.2319
"NE3","2022-02-18",0.1423
"NE3","2022-03-06",0.1826
"NE3","2022-03-22",0.1669
"NE3","2022-04-07",0.1608
"NE3","2022-04-23",0.237
"NE3","2022-05-09",0.2231
"NE3","2022-05-25",0.1814
"NE3","2022-06-10",0.2366
"NE3","2022-06-26",0.2289
"NE3","2022-07-12",0.1785
"NE3","2022-07-28",0.2379
"NE3","2022-08-13",0.1416
"NE3","2022-08-29",0.3122
"NE3","2022-09-14",0.3079
"NE3","2022-09-30",0.3982
"NE3","2022-10-16",0.2514
"NE3","2022-11-01",0.2341
"NE3","2022-11-17",0.2443
"NE3","2022-12-03",0.1926
"NE3","2022-12-19",0.1344
"NE3","2023-01-01",0.1344
"NE3","2023-01-17",0.1239
"NE3","2023-02-02",0.146
"NE3","2023-02-18",0.1319
"NE3","2023-03-06",0.1678
"NE3","2023-03-22",0.1458
"NE3","2023-04-07",0.2743
"NE3","2023-04-23",0.2184
"NE3","2023-05-09",0.2902
"NE3","2023-05-25",0.2796
"NE3","2023-06-10",0.2259
"NE3","2023-06-26",0.313
"NE3","2023-07-12",0.2961
"NE3","2023-07-28",0.247
"NE3","2023-08-13",0.2559
"NE3","2023-08-29",0.1532
"NE3","2023-09-14",0.3149
"NE3","2023-09-30",0.1076
"NE3","2023-10-16",0.3077
"NE3","2023-11-01",0.2646
