estacion,anio,semana,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,WDR_E,WDR_N,WDR_NE,WDR_NO,WDR_O,WDR_S,WDR_SE,WDR_SO,ndvi_mediana
NE2,2020,2020-12-28,2.96,,,,,40.5,21.0,720.2,0.0,58.5,12.350000000000001,0.4645,11.065,14.6,155.5,0.06944444444444445,0.013888888888888888,0.013888888888888888,0.20833333333333334,0.125,0.1111111111111111,0.4166666666666667,0.041666666666666664,
NE2,2021,2021-01-04,3.15,,,,,54.0,19.0,719.2,0.0,43.0,12.0,0.471,14.27,,161.0,0.16666666666666666,0.017857142857142856,0.041666666666666664,0.20833333333333334,0.17857142857142858,0.047619047619047616,0.26785714285714285,0.041666666666666664,0.0435891579836607
NE2,2021,2021-01-11,3.085,,,,,65.0,23.0,724.5,0.0,55.5,10.7,0.463,9.92,,201.5,0.017857142857142856,0.011904761904761904,0.011904761904761904,0.15476190476190477,0.125,0.10714285714285714,0.20238095238095238,0.047619047619047616,0.1116543412208557
NE2,2021,2021-01-18,2.97,,,,,52.0,31.0,714.7,0.0,82.0,11.25,0.471,17.87,,164.0,0.05357142857142857,0.03571428571428571,0.005952380952380952,0.16071428571428573,0.047619047619047616,0.07738095238095238,0.30952380952380953,0.08928571428571429,-0.0050691254436969
NE2,2021,2021-01-25,2.89,,,,,51.0,19.0,717.3,0.0,43.0,12.4,0.479,19.5,,168.0,0.1130952380952381,0.017857142857142856,0.011904761904761904,0.20238095238095238,0.10119047619047619,0.1488095238095238,0.30952380952380953,0.06547619047619048,0.0357648283243179
NE2,2021,2021-02-01,2.84,,,,,49.0,20.0,713.3,0.0,36.0,14.6,0.479,18.96,,143.0,0.14285714285714285,0.011904761904761904,0.03571428571428571,0.19047619047619047,0.10714285714285714,0.05952380952380952,0.39285714285714285,0.05357142857142857,0.0837357342243194
NE2,2021,2021-02-08,2.69,,,,,32.0,14.0,714.6500000000001,0.0,80.0,9.95,0.465,13.385,,144.5,0.16071428571428573,0.017857142857142856,0.011904761904761904,0.19642857142857142,0.09523809523809523,0.06547619047619048,0.39285714285714285,0.05952380952380952,0.0292498636990785
NE2,2021,2021-02-15,2.31,,,,,37.0,19.0,719.1500000000001,0.0,63.0,7.2,0.456,6.11,,144.0,0.07738095238095238,0.011904761904761904,0.017857142857142856,0.19047619047619047,0.09523809523809523,0.08333333333333333,0.4523809523809524,0.05952380952380952,-0.0076680276542901
NE2,2021,2021-02-22,2.26,,,,,48.5,24.0,713.25,0.0,55.0,6.7,0.483,22.3,,137.5,0.17261904761904762,0.005952380952380952,0.011904761904761904,0.17857142857142858,0.047619047619047616,0.05357142857142857,0.5059523809523809,0.023809523809523808,0.0117407999932765
NE2,2021,2021-03-01,2.21,4.3,18.5,23.0,22.4,45.0,21.0,719.0,0.0,48.0,6.2,0.581,17.85,,141.0,0.18452380952380953,0.0,0.047619047619047616,0.09523809523809523,0.07142857142857142,0.13690476190476192,0.39285714285714285,0.05357142857142857,0.0540193170309066
NE2,2021,2021-03-08,2.45,9.2,19.05,28.1,16.4,56.0,23.5,716.0,0.0,72.0,5.0,0.592,20.89,,134.0,0.16666666666666666,0.0,0.011904761904761904,0.023809523809523808,0.03571428571428571,0.017857142857142856,0.6785714285714286,0.011904761904761904,0.0431290604174137
NE2,2021,2021-03-15,2.62,6.3,19.5,26.7,28.4,64.0,18.0,717.2,0.0,32.0,4.45,0.584,21.73,,137.0,0.18452380952380953,0.0,0.02976190476190476,0.05357142857142857,0.05952380952380952,0.08928571428571429,0.5297619047619048,0.03571428571428571,0.0623883754014968
NE2,2021,2021-03-22,2.55,6.0,20.75,27.6,25.55,80.0,26.0,709.6500000000001,0.0,41.0,2.3499999999999996,0.589,23.925,,142.0,0.10714285714285714,0.041666666666666664,0.017857142857142856,0.1130952380952381,0.06547619047619048,0.07142857142857142,0.5297619047619048,0.05357142857142857,0.0818337202072143
NE2,2021,2021-03-29,,5.8,17.2,23.55,24.25,46.0,15.0,720.2,0.0,66.0,2.7,0.586,17.33,2.5999999999999996,137.0,0.18452380952380953,0.0,0.02976190476190476,0.08928571428571429,0.041666666666666664,0.07142857142857142,0.5476190476190477,0.023809523809523808,0.0697943121194839
NE2,2021,2021-04-05,0.69,6.4,18.45,25.35,25.5,64.0,23.0,708.4,0.0,42.0,3.6500000000000004,0.4675,27.200000000000003,8.8,140.0,0.11904761904761904,0.005952380952380952,0.017857142857142856,0.06547619047619048,0.05952380952380952,0.08928571428571429,0.5059523809523809,0.02976190476190476,0.0733546763658523
NE2,2021,2021-04-12,1.3,8.850000000000001,17.35,28.2,19.0,63.5,31.0,710.3499999999999,0.0,66.0,2.6,0.0085,24.785,10.649999999999999,124.0,0.31547619047619047,0.0,0.017857142857142856,0.017857142857142856,0.041666666666666664,0.06547619047619048,0.4880952380952381,0.05357142857142857,0.0201956927776336
NE2,2021,2021-04-19,0.63,9.1,24.2,33.8,28.0,60.0,17.0,714.2,0.0,53.0,4.7,0.0,22.88,10.2,124.0,0.2934131736526946,0.0,0.029940119760479042,0.059880239520958084,0.023952095808383235,0.07784431137724551,0.49700598802395207,0.017964071856287425,0.074613768607378
NE2,2021,2021-04-26,0.54,6.1,16.5,23.0,28.0,56.0,21.0,710.1,0.0,52.0,3.2,0.03,25.975,10.6,135.0,0.17261904761904762,0.0,0.0,0.1130952380952381,0.09523809523809523,0.07738095238095238,0.42857142857142855,0.09523809523809523,0.0628401488065719
NE2,2021,2021-05-03,0.34,7.7,19.1,28.45,28.5,57.0,18.0,713.3499999999999,0.0,49.5,3.5,0.024,27.49,10.8,134.5,0.25595238095238093,0.0,0.011904761904761904,0.08928571428571429,0.02976190476190476,0.10119047619047619,0.42857142857142855,0.08333333333333333,0.0674106292426586
NE2,2021,2021-05-10,0.34,11.1,18.799999999999997,29.65,20.0,58.5,18.0,712.5,0.0,69.0,2.4,0.002,25.25,11.25,128.5,0.16666666666666666,0.0,0.017857142857142856,0.005952380952380952,0.03571428571428571,0.02976190476190476,0.5059523809523809,0.03571428571428571,-0.0421815067529678
NE2,2021,2021-05-17,1.14,8.5,18.200000000000003,27.9,30.0,58.5,17.0,712.1500000000001,0.0,61.0,2.9,0.0455,25.994999999999997,10.95,123.5,0.3333333333333333,0.0,0.011904761904761904,0.011904761904761904,0.017857142857142856,0.047619047619047616,0.5297619047619048,0.047619047619047616,0.0683587938547134
NE2,2021,2021-05-24,1.2,11.0,15.5,27.5,16.0,57.0,18.0,713.9,0.0,67.0,2.1,0.02,26.26,11.9,117.0,0.4226190476190476,0.0,0.005952380952380952,0.0,0.005952380952380952,0.023809523809523808,0.5357142857142857,0.0,0.0129269537283107
NE2,2021,2021-05-31,1.26,9.95,17.4,30.6,18.5,50.0,16.0,713.8,0.0,71.5,1.7,0.020999999999999998,24.825000000000003,9.9,132.0,0.27976190476190477,0.0,0.017857142857142856,0.05357142857142857,0.041666666666666664,0.07738095238095238,0.4642857142857143,0.05357142857142857,
NE2,2021,2021-06-07,1.25,10.4,17.1,28.95,18.0,54.0,20.5,712.0,0.0,54.0,3.0,0.02,29.95,11.8,114.0,0.4166666666666667,0.005952380952380952,0.0,0.0,0.005952380952380952,0.023809523809523808,0.44047619047619047,0.005952380952380952,0.0785545781254768
NE2,2021,2021-06-14,1.255,8.850000000000001,17.7,27.5,25.5,45.5,14.0,714.3,0.0,50.5,3.7,0.0655,28.64,9.350000000000001,129.5,0.2916666666666667,0.005952380952380952,0.011904761904761904,0.047619047619047616,0.07738095238095238,0.05952380952380952,0.4642857142857143,0.02976190476190476,0.0497131496667861
NE2,2021,2021-06-21,1.37,10.2,16.7,28.2,19.0,56.0,21.0,711.8,0.0,70.0,2.6,0.0275,27.16,10.9,125.0,0.30357142857142855,0.0,0.041666666666666664,0.005952380952380952,0.05357142857142857,0.023809523809523808,0.5119047619047619,0.02976190476190476,
NE2,2021,2021-06-28,1.41,11.7,15.7,28.9,17.0,40.0,11.0,713.8,0.0,66.0,3.5,0.048,27.06,10.1,118.0,0.35714285714285715,0.0,0.047619047619047616,0.0,0.011904761904761904,0.02976190476190476,0.5297619047619048,0.017857142857142856,0.0599689316004514
NE2,2021,2021-07-05,1.4649999999999999,7.45,15.649999999999999,22.7,17.0,44.0,16.0,712.8499999999999,0.0,73.5,2.2,0.025,26.235,9.3,133.5,0.18452380952380953,0.0,0.041666666666666664,0.1130952380952381,0.1130952380952381,0.05952380952380952,0.44047619047619047,0.047619047619047616,0.0860265344381332
NE2,2021,2021-07-12,1.64,14.45,14.9,30.6,13.0,67.0,23.0,716.8,0.0,64.0,5.65,0.0075,26.884999999999998,11.6,124.0,0.2261904761904762,0.0,0.017857142857142856,0.0,0.0,0.005952380952380952,0.6666666666666666,0.0,0.0573600232601165
NE2,2021,2021-07-19,1.65,9.8,15.6,25.7,17.0,52.0,18.0,716.1,0.0,62.0,3.9,0.014,27.96,9.2,125.0,0.2916666666666667,0.0,0.02976190476190476,0.023809523809523808,0.05357142857142857,0.06547619047619048,0.47619047619047616,0.05357142857142857,0.0855837613344192
NE2,2021,2021-07-26,1.73,10.649999999999999,16.65,27.65,17.0,50.0,16.0,716.1,0.0,62.0,4.7,0.044,27.93,8.5,125.0,0.27380952380952384,0.0,0.03571428571428571,0.03571428571428571,0.047619047619047616,0.08333333333333333,0.49404761904761907,0.023809523809523808,0.0562023371458053
NE2,2021,2021-08-02,1.76,9.8,14.5,25.5,16.0,48.0,17.0,715.4,0.0,63.0,4.2,0.0045000000000000005,27.52,8.0,133.5,0.25595238095238093,0.0,0.02976190476190476,0.08333333333333333,0.06547619047619048,0.06547619047619048,0.34523809523809523,0.047619047619047616,0.0741519033908844
NE2,2021,2021-08-09,1.85,10.6,14.4,25.4,17.0,46.0,14.0,715.9,0.0,55.0,7.15,0.007,29.08,11.1,124.0,0.26785714285714285,0.0,0.0,0.011904761904761904,0.0,0.02976190476190476,0.5773809523809523,0.011904761904761904,0.0718038529157638
NE2,2021,2021-08-16,1.94,11.95,15.0,28.3,14.0,44.0,14.0,713.0,0.0,60.5,7.95,0.025,28.765,12.649999999999999,128.0,0.25595238095238093,0.0,0.005952380952380952,0.0,0.0,0.023809523809523808,0.7142857142857143,0.0,0.0760913491249084
NE2,2021,2021-08-23,2.04,13.3,15.1,29.2,14.0,61.0,21.0,713.7,0.0,52.0,6.4,0.01,28.72,10.9,123.0,0.3630952380952381,0.0,0.011904761904761904,0.005952380952380952,0.011904761904761904,0.041666666666666664,0.5059523809523809,0.017857142857142856,0.0596174746751785
NE2,2021,2021-08-30,2.33,11.2,14.9,26.7,14.0,72.0,27.0,711.1,0.0,56.0,6.6,0.013000000000000001,29.43,11.2,126.0,0.25,0.0,0.011904761904761904,0.0,0.0,0.041666666666666664,0.6726190476190477,0.017857142857142856,0.0634496361017227
NE2,2021,2021-09-06,2.33,8.8,15.8,26.7,23.0,56.0,17.0,715.0,0.0,50.0,5.0,0.017,29.3,9.1,125.0,0.35714285714285715,0.0,0.005952380952380952,0.047619047619047616,0.03571428571428571,0.07142857142857142,0.44642857142857145,0.02976190476190476,0.0260256994515657
NE2,2021,2021-09-13,2.3,7.85,15.75,24.5,20.0,46.0,14.0,713.1,0.0,60.5,4.8,0.012,28.38,9.25,130.0,0.26785714285714285,0.0,0.023809523809523808,0.05357142857142857,0.047619047619047616,0.06547619047619048,0.4642857142857143,0.07738095238095238,0.0699387788772583
NE2,2021,2021-09-20,2.4050000000000002,8.649999999999999,18.7,28.25,27.5,57.0,16.0,716.6,0.0,53.0,4.8,0.01,26.375,9.75,138.0,0.15476190476190477,0.0,0.02976190476190476,0.08928571428571429,0.05357142857142857,0.1130952380952381,0.5119047619047619,0.03571428571428571,0.0167026594281196
NE2,2021,2021-09-27,2.38,8.25,17.8,27.6,17.0,54.0,17.0,713.4,0.0,70.0,4.3,0.003,25.67,7.5,148.0,0.11904761904761904,0.0,0.047619047619047616,0.047619047619047616,0.11904761904761904,0.1488095238095238,0.4226190476190476,0.08928571428571429,
NE2,2021,2021-10-04,2.57,10.4,23.4,34.2,21.0,63.0,18.0,716.5,0.0,52.0,5.1,0.004,26.66,8.4,140.0,0.15476190476190477,0.0,0.011904761904761904,0.05952380952380952,0.08928571428571429,0.08928571428571429,0.5178571428571429,0.07142857142857142,0.0779940038919448
NE2,2021,2021-10-11,2.65,18.5,17.3,45.8,17.0,63.0,24.0,711.05,0.0,61.0,3.0,0.003,26.1,9.2,137.0,0.13690476190476192,0.0,0.03571428571428571,0.07738095238095238,0.08333333333333333,0.10714285714285714,0.4642857142857143,0.08928571428571429,0.0266694016754627
NE2,2021,2021-10-18,2.42,14.3,19.7,34.05,13.0,53.5,18.0,715.7,0.0,67.0,3.3,0.001,23.735,8.1,131.0,0.19047619047619047,0.005952380952380952,0.03571428571428571,0.023809523809523808,0.041666666666666664,0.05952380952380952,0.5952380952380952,0.047619047619047616,
NE2,2021,2021-10-25,2.625,14.0,25.549999999999997,39.95,16.0,69.0,23.0,713.7,0.0,36.5,3.4,0.001,25.13,7.05,164.5,0.11904761904761904,0.0,0.0,0.19047619047619047,0.18452380952380953,0.10119047619047619,0.35119047619047616,0.05357142857142857,
NE2,2021,2021-11-01,1.22,12.3,15.6,29.9,14.0,54.0,16.0,720.4,0.0,76.0,2.8499999999999996,0.0,18.34,9.55,137.0,0.16071428571428573,0.0,0.011904761904761904,0.09523809523809523,0.10119047619047619,0.06547619047619048,0.47619047619047616,0.08333333333333333,
NE2,2021,2021-11-08,0.98,9.7,18.2,26.6,14.0,63.0,20.0,719.2,0.0,71.5,3.1,0.0,21.134999999999998,23.8,145.5,0.08333333333333333,0.13690476190476192,0.041666666666666664,0.17857142857142858,0.041666666666666664,0.07142857142857142,0.39285714285714285,0.041666666666666664,0.0852894634008407
NE2,2021,2021-11-15,1.16,12.6,21.2,36.4,14.0,77.0,21.0,718.1,0.0,56.0,3.6,0.0,18.835,20.6,267.0,0.08333333333333333,0.19047619047619047,0.05357142857142857,0.2976190476190476,0.041666666666666664,0.047619047619047616,0.25595238095238093,0.023809523809523808,0.085455372929573
NE2,2021,2021-11-22,1.11,8.9,15.6,24.0,16.5,63.0,19.0,720.2,0.0,65.0,3.2,0.0,17.95,18.7,293.0,0.023809523809523808,0.30357142857142855,0.047619047619047616,0.23214285714285715,0.07142857142857142,0.07738095238095238,0.23809523809523808,0.005952380952380952,0.0361898876726627
NE2,2021,2021-11-29,1.23,11.7,21.549999999999997,34.6,11.0,72.0,22.0,718.05,0.0,64.0,4.1,0.0,21.085,6.4,138.0,0.09523809523809523,0.13690476190476192,0.05357142857142857,0.15476190476190477,0.07738095238095238,0.017857142857142856,0.44642857142857145,0.005952380952380952,0.0653335377573967
NE2,2021,2021-12-06,1.47,14.1,25.8,40.7,17.0,112.0,31.0,714.7,0.0,40.0,4.9,0.0,19.65,7.0,279.0,0.03571428571428571,0.16071428571428573,0.023809523809523808,0.2976190476190476,0.10714285714285714,0.03571428571428571,0.3333333333333333,0.0,
NE2,2021,2021-12-13,1.52,14.7,23.2,41.2,10.0,88.5,27.0,717.1,0.0,63.0,4.6,0.0,19.87,16.9,175.0,0.13095238095238096,0.1488095238095238,0.02976190476190476,0.25595238095238093,0.06547619047619048,0.05952380952380952,0.27380952380952384,0.02976190476190476,0.0408118218183517
NE2,2021,2021-12-20,1.7,20.3,23.6,49.349999999999994,9.0,89.0,29.0,715.6,0.0,60.0,4.1,0.0,19.15,9.7,168.0,0.07738095238095238,0.047619047619047616,0.041666666666666664,0.23809523809523808,0.20238095238095238,0.02976190476190476,0.34523809523809523,0.011904761904761904,0.0783107280731201
