estacion,anio,semana,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,WDR_E,WDR_N,WDR_NE,WDR_NO,WDR_O,WDR_S,WDR_SE,WDR_SO,ndvi_mediana
NE3,2021,2021-01-04,0.5435000000000001,6.1,12.1,16.3,23.5,33.5,,733.0,0.0,55.5,3.3,0.0015,12.2,7.15,284.5,0.27380952380952384,0.09523809523809523,0.005952380952380952,0.30952380952380953,0.19642857142857142,0.023809523809523808,0.08928571428571429,0.005952380952380952,0.1487244139425456
NE3,2021,2021-01-11,0.548,6.4,13.2,19.5,23.9,40.0,,734.0,0.0,54.0,3.4,0.0,9.7,5.9,275.5,0.13095238095238096,0.06547619047619048,0.023809523809523808,0.2916666666666667,0.20833333333333334,0.05952380952380952,0.19642857142857142,0.023809523809523808,0.3193317353725433
NE3,2021,2021-01-18,0.693,6.9,11.1,16.65,11.6,32.0,,729.0,0.0,84.0,4.4,0.002,16.4,5.45,170.0,0.18452380952380953,0.02976190476190476,0.041666666666666664,0.27976190476190477,0.16666666666666666,0.011904761904761904,0.2619047619047619,0.023809523809523808,-0.0035523979458957
NE3,2021,2021-01-25,0.6365000000000001,5.4,8.0,12.7,30.6,38.5,,730.0,0.0,48.0,3.2,0.0015,18.55,6.45,206.5,0.17261904761904762,0.02976190476190476,0.02976190476190476,0.2857142857142857,0.17857142857142858,0.023809523809523808,0.25595238095238093,0.023809523809523808,0.0246768500655889
NE3,2021,2021-02-01,0.671,4.8,9.7,13.8,29.2,38.0,,728.0,0.0,43.0,3.25,0.003,17.5,5.949999999999999,212.0,0.19047619047619047,0.05952380952380952,0.017857142857142856,0.20238095238095238,0.20833333333333334,0.02976190476190476,0.24404761904761904,0.041666666666666664,0.2469577640295028
NE3,2021,2021-02-08,0.704,6.4,6.7,12.6,13.95,17.0,,729.0,0.0,83.5,3.0,0.0005,11.6,7.6,128.0,0.3392857142857143,0.023809523809523808,0.02976190476190476,0.2976190476190476,0.07142857142857142,0.005952380952380952,0.22023809523809523,0.011904761904761904,0.1048351656645536
NE3,2021,2021-02-15,0.5885,5.65,7.5,12.8,27.950000000000003,22.0,,732.0,0.0,61.0,2.9,0.0,7.1,8.0,159.5,0.15476190476190477,0.02976190476190476,0.041666666666666664,0.2261904761904762,0.10714285714285714,0.047619047619047616,0.18452380952380953,0.005952380952380952,-0.0085679311305284
NE3,2021,2021-02-22,0.772,5.65,7.4,12.850000000000001,24.6,33.0,,728.0,0.0,59.0,3.1,0.0,21.1,6.9,125.0,0.3273809523809524,0.011904761904761904,0.02976190476190476,0.17857142857142858,0.10119047619047619,0.02976190476190476,0.25,0.047619047619047616,0.043501675594598
NE3,2021,2021-03-01,0.652,5.2,6.9,11.7,35.0,29.0,,733.0,0.0,50.0,2.9,0.002,17.4,9.4,271.0,0.23214285714285715,0.22023809523809523,0.011904761904761904,0.19642857142857142,0.11904761904761904,0.05357142857142857,0.15476190476190477,0.005952380952380952,0.1945701390504837
NE3,2021,2021-03-08,0.209,5.5,5.4,10.3,32.0,27.0,,730.0,0.0,70.0,3.0,0.0035,20.8,11.1,113.0,0.4880952380952381,0.0,0.0,0.05357142857142857,0.017857142857142856,0.017857142857142856,0.4166666666666667,0.005952380952380952,0.0838117077946662
